vendor,product_name,sub_name,breadcrumbs,listed_price,discounted_price,sku,supplier_code,vat_status,offer_validity,availability,product_description,documentation_url,packaging_details,rating,replacement_product,product_url,image_url,variants,min_price,max_price,min_price_date,max_price_date,weight
revello,Tetric EvoCeram Ivoclar,IVOCLAR,Prodotti > Odontoiatria > Consumo > Conservativa e ricostruzione > Compositi estetici > Tetric EvoCeram Ivoclar,,"48,61 €",223,,,,,"Tetric EvoCeram &egrave; il composito universale per anteriori e posteriori Ivoclar Vivadent che utilizza una innovativa tecnologia nano-ottimizzata. Tre tipi di nanoparticelle sono state utilizzate in un singolo composito: riempitivi, pigmenti e modificatore. Tetric EvoCeram &egrave; un composito nanoibrido, fotopolimerizzabile e radiopaco basato sulla pi&ugrave; recente tecnologia della restaurativa diretta.",,,,,https://www.revello.net/prodotti/odontoiatria/consumo/conservativa-e-ricostruzione/compositi-estetici/tetric-evoceram-ivoclar-223/,https://www.revello.net/catalogo-media-public/images/320/000000223_01.jpg?v=1696855143,"\{'Name':\ '',\ 'Manufacturer\ No.':\ '590312',\ 'Item\ Number':\ '3503018',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '590313',\ 'Item\ Number':\ '3503019',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '590314',\ 'Item\ Number':\ '3503020',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '590315',\ 'Item\ Number':\ '3503021',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '590316',\ 'Item\ Number':\ '3503022',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '590317',\ 'Item\ Number':\ '3503023',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '590318',\ 'Item\ Number':\ '3503024',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '590319',\ 'Item\ Number':\ '3503025',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '590320',\ 'Item\ Number':\ '3503026',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '590321',\ 'Item\ Number':\ '3503027',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '590322',\ 'Item\ Number':\ '3503028',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '590323',\ 'Item\ Number':\ '3503029',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '590324',\ 'Item\ Number':\ '3503030',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '590325',\ 'Item\ Number':\ '3503031',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '590326',\ 'Item\ Number':\ '3503032',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '590327',\ 'Item\ Number':\ '3503033',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '590328',\ 'Item\ Number':\ '3503034',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '590329',\ 'Item\ Number':\ '3503035',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '590330',\ 'Item\ Number':\ '3503036',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '637549',\ 'Item\ Number':\ '3515318',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '637548',\ 'Item\ Number':\ '3515346',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '637547',\ 'Item\ Number':\ '3515372',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '590294',\ 'Item\ Number':\ '3503059',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '590295',\ 'Item\ Number':\ '3503061',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '590296',\ 'Item\ Number':\ '3503062',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '590297',\ 'Item\ Number':\ '3503063',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '590303',\ 'Item\ Number':\ '3503069',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '590304',\ 'Item\ Number':\ '3503070',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '590331',\ 'Item\ Number':\ '3503037',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '590332',\ 'Item\ Number':\ '3503038',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '590333',\ 'Item\ Number':\ '3503039',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '590334',\ 'Item\ Number':\ '3503040',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '590335',\ 'Item\ Number':\ '3503041',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '590336',\ 'Item\ Number':\ '3503042',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '590337',\ 'Item\ Number':\ '3503043',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '590338',\ 'Item\ Number':\ '3503044',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '590339',\ 'Item\ Number':\ '3503045',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '590340',\ 'Item\ Number':\ '3503046',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '590341',\ 'Item\ Number':\ '3503047',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '590342',\ 'Item\ Number':\ '3503048',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '590343',\ 'Item\ Number':\ '3503049',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '590345',\ 'Item\ Number':\ '3503052',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '590347',\ 'Item\ Number':\ '3503055',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '642042',\ 'Item\ Number':\ '3515553',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '642043',\ 'Item\ Number':\ '3515554',\ 'Price':\ ''\}",48.61,48.61,2025-03-10,2025-03-10,
revello,Tetric PowerFill Ivoclar,IVOCLAR,Prodotti > Odontoiatria > Consumo > Conservativa e ricostruzione > Compositi estetici > Tetric PowerFill Ivoclar,,"54,83 €",8801,,,,,"Composito fotopolimerizzabile nanoibrido a base di dimetacrilati e riempitivi di vetro di bario. Indicato per restauri posteriori di I e II Classe, restauri di V Classe, ricostruzione di cuspidi, di falsi monconi e di denti decidui. Grande resa estetica: tecnologia Aessencio e foto-iniziatori Ivocerin che permettono l&rsquo;opacizzazione del composito gi&agrave; in fase di fotopolimerizzazione. Qualit&agrave;: riduzione del rischio di errore grazie al brevissimo tempo di polimerizzazione di soli 3 sec. (sistema 3s PowerCure). - Malleabile fino a 4 mm di spessore. - Radiopaco: 308 % Al. - Basso tasso di retrazione pari a 2,1%. - Tempo di lavoro superiore a 4 min. - Resistenza alla flessione elevata: 119 MPa. - Risparmio di tempo rispetto alla tecnica convenzionale.",,,,,https://www.revello.net/prodotti/odontoiatria/consumo/conservativa-e-ricostruzione/compositi-estetici/tetric-powerfill-ivoclar-8801/,https://www.revello.net/catalogo-media-public/images/320/000008801_03.jpg?v=1688480917,"\{'Name':\ '',\ 'Manufacturer\ No.':\ '668083',\ 'Item\ Number':\ '3515560',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '668084',\ 'Item\ Number':\ '3515569',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '668115',\ 'Item\ Number':\ '3515574',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '668117',\ 'Item\ Number':\ '3515568',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '668107',\ 'Item\ Number':\ '3515580',\ 'Price':\ ''\} \{'Name':\ '',\ 'Manufacturer\ No.':\ '668076',\ 'Item\ Number':\ '3515643',\ 'Price':\ ''\}",54.83,54.83,2025-03-10,2025-03-10,
Dental Trey,SCALA COLORI VIVADENT TETRIC PRIME,IVOCLAR VIVADENT,Home > Conservativa > Otturazione/ricostruzione/accessori > Scale colori > SCALA COLORI VIVADENT TETRIC PRIME,"€ 27,99","€ 27,99",10055484,709578WW,23.0,,Disp. norm. in 10gg.,Tetric Prime Shade Guide,,,,,https://www.dentaltrey.it/scala-colori-vivadent-tetric-prime-10055484.html,https://www.dentaltrey.it/media/catalog/product/cache/c9a7a1cbff65a23fe396b3b7e76cdbbb/1/0/10055484_3.jpg,"{{SCALA COLORI VIVADENT IPS EMPRESS DIRECT SMALTO 627215} {€ 132,99} {Disp. norm. in 10gg.} https://www.dentaltrey.it/scala-colori-vivadent-ips-empress-direct-smalto-627215-10036453.html}",27.99,27.99,2025-03-18,2025-03-18,
Dental Trey,TETRIC LINE KIT SIRINGHE,IVOCLAR VIVADENT,Home > Conservativa > Otturazione/ricostruzione/accessori > Compositi per posteriori > TETRIC LINE KIT SIRINGHE,"€ 304,99","€ 304,99",10063843,760215WW,,,Disp. norm. in 10gg.,"""Il kit contiene: 1 x 2 ml Adhes eUniversal VivaPen; 40 cannule Viva Pen, 40 VivaPen Protective Sleeves, 1 x 2 g Tetric EvoFlow A3, 10 cannule Luerlock (0.,9 mm, 1,2 mm), 1 Tetric Prime Assortment Syringe ( 1x 3 g Tetric Prime A2, A3, A2 Dentin), 1 x 2 g Tetric PowerFlow IVA, 1 x 3 g Tetric PowerFill Refill Syringe IV",,,,,https://www.dentaltrey.it/tetric-line-kit-siringhe-10063843.html,https://www.dentaltrey.it/media/catalog/product/cache/c9a7a1cbff65a23fe396b3b7e76cdbbb/1/0/10063843.jpg,"[['HELIOMOLAR RO VIVADENT SIR.110/A1', '€ 56,49', 'Disp. immediata', 'https://www.dentaltrey.it/heliomolar-ro-vivadent-sir-110-a1-10004060.html'], ['HELIOMOLAR RO VIVADENT SIR.140/A2', '€ 58,49', 'Disp. immediata', 'https://www.dentaltrey.it/heliomolar-ro-vivadent-sir-140-a2-10101693.html'], ['TETRIC LINE KIT MIXED', '€ 286,99', 'Disp. norm. in 10gg.', 'https://www.dentaltrey.it/tetric-line-kit-mixed-10063844.html'], ['TETRIC POWERFILL SYSTEM KIT SIRINGHE', '€ 162,99', 'Disp. norm. in 10gg.', 'https://www.dentaltrey.it/tetric-powerfill-system-kit-siringhe-10063845.html']]",304.99,304.99,2025-03-18,2025-03-18,
umbra,TETRIC LINE KIT SYRINGE,Ivoclar,Prodotti Studio > Conservativa > Compositi > TETRIC LINE KIT SYRINGE,"€ 352,30","€ 352,30","MOD. 962412
NON ",,Prezzo IVA esclusa (4%),,,,,,,,https://umbra.it/prodotti/962412-tetric-line-kit-syringe,https://umbra.it/media/product/9/6/962412/images/I_Ivoclar_Tetric_Line_Kit_Sir_962412-962412-10-md.webp,"{'Unknown Product': 'https://umbra.it/catalogo?excludedSubClass=223A&brand=I020', 'ESTELITE SIGMA QUICK SIR. A3 3,8GR.': 'https://umbra.it/prodotti/955372-estelite-sigma-quick-sir-a3-3-8gr', 'ESTELITE ASTERIA SIR. A3B 4GR.': 'https://umbra.it/prodotti/974664-estelite-asteria-sir-a3b-4gr', 'OMNICHROMA SIR. 4GR.': 'https://umbra.it/prodotti/998248-omnichroma-sir-4gr', 'ESTELITE SIGMA QUICK SIR. A2 3,8GR.': 'https://umbra.it/prodotti/955371-estelite-sigma-quick-sir-a2-3-8gr', 'ESTELITE SIGMA QUICK SIR. A3,5 3,8GR.': 'https://umbra.it/prodotti/955373-estelite-sigma-quick-sir-a3-5-3-8gr', '': 'https://umbra.it/prodotti/200013-denti-sr-vivodent-x6', 'DENTI SR ORTHOTYP S PE X8': 'https://umbra.it/prodotti/200009-denti-sr-orthotyp-s-pe-x8', 'DENTI SR VIVODENT S PE X6': 'https://umbra.it/prodotti/200008-denti-sr-vivodent-s-pe-x6', 'DENTI SR ORTHOTYP S DCL X8': 'https://umbra.it/prodotti/200089-denti-sr-orthotyp-s-dcl-x8', 'DENTI SR VIVODENT S DCL X6': 'https://umbra.it/prodotti/200088-denti-sr-vivodent-s-dcl-x6', 'DENTI GNATHOSTAR A-D X8': 'https://umbra.it/prodotti/200081-denti-gnathostar-a-d-x8'}",352.3,352.3,2025-03-18,2025-03-18,
gerho,"TETRIC CAD CEREC/INLAB 692151 HT A3,5 C14 5pz",IVOCLAR,"LABORATORIO > CERAMICA > TETRIC CAD > TETRIC CAD CEREC/INLAB 692151 HT A3,5 C14 5pz",173,"173,00 €",3109717,,,,,"Blocchetto in composito estetico per la realizzazione efficiente di restauri di denti singoli. Grazie al suo accentuato effetto camaleontico, i restauri in Tetric CAD si integrano otticamente in modo naturale con la sostanza dentale residua. In seguito alla fresatura, il restauro viene lucidato e cementato adesivamente. Questa possibilità di trattamento é molto efficiente. conducendo in modo semplice e rapido ad un risultato estetico.",,,,,https://www.gerho.it/TETRIC-CAD-CEREC-INLAB-692151-HT-A3-5-C14-5pz/3109717,https://www.gerho.it/media/04/16/66/1660052209/76a34ab5fa1d4cc5897d3a434a85d687.jpg,"[{'code': 'N/A', 'name': 'TETRIC CAD CEREC/INLAB 692149 HT A2 C14 5pz', 'price': '173,00 €', 'url': 'https://www.gerho.it/TETRIC-CAD-CEREC-INLAB-692149-HT-A2-C14-5pz/3109715'}, {'code': 'N/A', 'name': 'TETRIC CAD CEREC/INLAB 692149 HT A2 C14 5pz', 'price': '173,00 €', 'url': 'https://www.gerho.it/TETRIC-CAD-CEREC-INLAB-692149-HT-A2-C14-5pz/3109715'}, {'code': 'N/A', 'name': 'TETRIC CAD CEREC/INLAB 692149 HT A2 C14 5pz', 'price': '173,00 €', 'url': 'https://www.gerho.it/TETRIC-CAD-CEREC-INLAB-692149-HT-A2-C14-5pz/3109715'}, {'code': 'N/A', 'name': 'TETRIC CAD CEREC/INLAB 692149 HT A2 C14 5pz', 'price': '173,00 €', 'url': 'https://www.gerho.it/TETRIC-CAD-CEREC-INLAB-692149-HT-A2-C14-5pz/3109715'}, {'code': 'N/A', 'name': 'TETRIC CAD CEREC/INLAB 692149 HT A2 C14 5pz', 'price': '173,00 €', 'url': 'https://www.gerho.it/TETRIC-CAD-CEREC-INLAB-692149-HT-A2-C14-5pz/3109715'}, {'code': 'N/A', 'name': 'TETRIC CAD CEREC/INLAB 692149 HT A2 C14 5pz', 'price': '173,00 €', 'url': 'https://www.gerho.it/TETRIC-CAD-CEREC-INLAB-692149-HT-A2-C14-5pz/3109715'}, {'code': 'N/A', 'name': 'TETRIC CAD CEREC/INLAB 692149 HT A2 C14 5pz', 'price': '173,00 €', 'url': 'https://www.gerho.it/TETRIC-CAD-CEREC-INLAB-692149-HT-A2-C14-5pz/3109715'}, {'code': 'N/A', 'name': 'TETRIC CAD CEREC/INLAB 692149 HT A2 C14 5pz', 'price': '173,00 €', 'url': 'https://www.gerho.it/TETRIC-CAD-CEREC-INLAB-692149-HT-A2-C14-5pz/3109715'}]",173.0,173.0,2025-03-18,2025-03-18,
