name,start_angle,sweep_angle,primary_radius,secondary_radius,outer_radius
united_HOME_SERVICES,3.883,4.074,219.000,405.000,1054.913
FLOW_SERVICE_PARTNERS,7.957,4.754,219.000,405.000,1054.913
SM_SOUTHEAST_MECHANICAL,12.711,6.959,219.000,405.000,1054.913
ACE_Hardware,19.670,4.767,219.000,405.000,1054.913
Clarion,24.437,8.439,219.000,405.000,1054.913
ARS_RESCUE_ROOTER,32.876,6.932,219.000,405.000,1054.913
FLINT_GROUP,39.808,4.994,219.000,405.000,1054.913
Wrench_Group,44.802,11.891,219.000,405.000,1054.913
APEX_SERVICE_PARTNERS,56.693,73.378,219.000,405.000,1054.913
NORTHWINDS_TRUCKS,130.071,10.512,219.000,405.000,1054.913
Intermountain_Home_Services,140.583,5.328,219.000,405.000,1054.913
Userfriendly_Home_Services,145.911,3.676,219.000,405.000,1054.913
Master_Trades,149.587,5.194,219.000,405.000,1054.913
CHILL_BROTHERS,154.781,4.902,219.000,405.000,1054.913
InnovEn,159.683,3.401,219.000,405.000,1054.913
FRIENDLY_GROUP,163.085,2.694,219.000,405.000,1054.913
FIX-IT_GROUP,165.779,3.089,219.000,405.000,1054.913
HOMEX,168.868,3.226,219.000,405.000,1054.913
ALLY_SERVICES,172.094,3.559,219.000,405.000,1054.913
SEACOAST_SERVICES,175.652,3.426,219.000,405.000,1054.913
RESIXPERTS,179.078,3.560,219.000,405.000,1054.913
Granite_Comfort,182.638,4.372,219.000,405.000,1054.913
Liberty_Service_Partners,187.010,4.401,219.000,405.000,1054.913
LEAP_PARTNERS,191.411,10.803,219.000,405.000,1054.913
ANY_HOUR_GROUP,202.214,6.903,219.000,405.000,1054.913
HEARTLAND_HOME_SERVICES,209.116,5.187,219.000,405.000,1054.913
CHAMPIONS,214.303,6.486,219.000,405.000,1054.913
TURNPOINT_Services,220.790,10.652,219.000,405.000,1054.913
REDWOOD_Services,231.442,7.540,219.000,405.000,1054.913
SEER_Group,238.982,11.941,219.000,405.000,1054.913
Hometown_Home_Services,250.923,7.109,219.000,405.000,1054.913
SOUTHERN_Home_Services,258.031,24.638,219.000,405.000,1054.913
CASCADE_SERVICES,282.669,13.970,219.000,405.000,1054.913
Columbia_Home_Services,296.639,8.004,219.000,405.000,1054.913
P1_Service_Group,304.643,6.366,219.000,405.000,1054.913
Sila_Services,311.009,13.127,219.000,405.000,1054.913
STRIKEPOINT_GROUP_HOLDINGS,324.137,5.565,219.000,405.000,1054.913
NearU_Services,329.702,9.515,219.000,405.000,1054.913
LEGACY_SERVICE_PARTNERS,339.217,13.901,219.000,405.000,1054.913
COPPERPOINT_Service_Partners,353.118,5.231,219.000,405.000,1054.913
BLUE_CARDINAL,358.349,5.534,219.000,405.000,1054.913